Ticker,"Levels (PDH, PDL, PMH, PML)",Level Broken,Time At Level Break,Time at Level Retest,Entry Price & Time,Exit Reason & Time
MES,"PDH:6081.75, PDL:6054.0, PMH:6075.75, PML:6050.25",PMH,2025-06-10 13:38:00,2025-06-10 13:48:00,6076.50 @ 2025-06-10 13:50:00,EMA_TRAIL @ 2025-06-10 13:56:00
MES,"PDH:6081.75, PDL:6054.0, PMH:6075.75, PML:6050.25",PMH,2025-06-10 18:02:00,2025-06-10 18:04:00,6077.75 @ 2025-06-10 18:06:00,EMA_TRAIL @ 2025-06-10 18:10:00
MES,"PDH:6118.5, PDL:6059.5, PMH:6075.25, PML:6040.75",PMH,2025-06-12 14:00:00,2025-06-12 14:04:00,6081.25 @ 2025-06-12 14:06:00,EMA_TRAIL @ 2025-06-12 14:58:00
MNQ,"PDH:22294.0, PDL:22013.25, PMH:22097.5, PML:21939.25",PMH,2025-06-12 14:06:00,2025-06-12 14:12:00,22145.75 @ 2025-06-12 14:14:00,EMA_TRAIL @ 2025-06-12 18:02:00
MNQ,"PDH:22202.0, PDL:22043.25, PMH:21921.5, PML:21783.0",PMH,2025-06-13 14:36:00,2025-06-13 14:38:00,21948.50 @ 2025-06-13 14:40:00,EMA_TRAIL @ 2025-06-13 18:04:00
MES,"PDH:6104.75, PDL:6061.75, PMH:6054.0, PML:6020.0",PDL,2025-06-13 18:02:00,2025-06-13 18:04:00,6051.50 @ 2025-06-13 18:06:00,TP @ 2025-06-13 18:32:00
MES,"PDH:6082.5, PDL:6017.25, PMH:6077.25, PML:6053.5",PMH,2025-06-16 13:48:00,2025-06-16 13:52:00,6094.75 @ 2025-06-16 13:54:00,EMA_TRAIL @ 2025-06-16 14:50:00
MNQ,"PDH:22224.5, PDL:22013.5, PMH:22098.0, PML:21995.75",PMH,2025-06-17 14:08:00,2025-06-17 14:10:00,22116.75 @ 2025-06-17 14:12:00,EMA_TRAIL @ 2025-06-17 14:36:00
MES,"PDH:6108.5, PDL:6066.5, PMH:6070.5, PML:6045.0",PMH,2025-06-17 14:06:00,2025-06-17 14:08:00,6076.00 @ 2025-06-17 14:10:00,EMA_TRAIL @ 2025-06-17 14:36:00
MES,"PDH:6108.5, PDL:6066.5, PMH:6070.5, PML:6045.0",PMH,2025-06-17 14:42:00,2025-06-17 14:44:00,6072.75 @ 2025-06-17 14:46:00,EMA_TRAIL @ 2025-06-17 14:52:00
MNQ,"PDH:22136.5, PDL:21908.0, PMH:22065.25, PML:21952.0",PML,2025-06-18 18:56:00,2025-06-18 19:06:00,21934.00 @ 2025-06-18 19:08:00,EMA_TRAIL @ 2025-06-18 19:14:00
MES,"PDH:6073.75, PDL:6026.25, PMH:6015.0, PML:5986.25",PML,2025-06-19 13:42:00,2025-06-19 13:44:00,5978.25 @ 2025-06-19 13:46:00,EMA_TRAIL @ 2025-06-19 14:06:00
MNQ,"PDH:21786.75, PDL:21650.25, PMH:22103.0, PML:21858.5",PML,2025-06-20 18:52:00,2025-06-20 18:54:00,21818.00 @ 2025-06-20 18:56:00,EMA_TRAIL @ 2025-06-20 19:54:00
MES,"PDH:6071.0, PDL:6003.5, PMH:6039.5, PML:6002.5",PMH,2025-06-23 13:54:00,2025-06-23 13:58:00,6045.75 @ 2025-06-23 14:00:00,EMA_TRAIL @ 2025-06-23 14:38:00
MNQ,"PDH:22130.75, PDL:21760.0, PMH:21944.75, PML:21775.5",PMH,2025-06-23 14:00:00,2025-06-23 14:04:00,21980.75 @ 2025-06-23 14:06:00,EMA_TRAIL @ 2025-06-23 14:50:00
MNQ,"PDH:22548.25, PDL:22388.25, PMH:22585.0, PML:22520.0",PMH,2025-06-26 18:00:00,2025-06-26 18:02:00,22655.00 @ 2025-06-26 18:04:00,EMA_TRAIL @ 2025-06-26 18:38:00
MES,"PDH:6200.0, PDL:6159.25, PMH:6220.75, PML:6203.5",PML,2025-06-27 18:26:00,2025-06-27 18:28:00,6195.25 @ 2025-06-27 18:30:00,EMA_TRAIL @ 2025-06-27 19:04:00
